popis,obrazok
"SME FURMANKA.<br>Najlepšia punková krčma na Orave.",https://i.postimg.cc/MKWjf3dD/IMG-20251210-160137.png
"Tu to žije hudbou a pivom.<br>Každý víkend koncerty a zábava.",
"Naše pivo je legendárne,<br>atmosféra neopakovateľná.",https://i.postimg.cc/8P8YWLkx/IMG-20251213-095003.png
